date,passenger_count,month_num,season,passengers_lag1
1949-01-01,112,1,winter,
1949-02-01,118,2,winter,112.0
1949-03-01,132,3,spring,118.0
1949-04-01,129,4,spring,132.0
1949-05-01,121,5,spring,129.0
1949-06-01,135,6,summer,121.0
1949-07-01,148,7,summer,135.0
1949-08-01,148,8,summer,148.0
1949-09-01,136,9,autumn,148.0
1949-10-01,119,10,autumn,136.0
1949-11-01,104,11,autumn,119.0
1949-12-01,118,12,winter,104.0
1950-01-01,115,1,winter,118.0
1950-02-01,126,2,winter,115.0
1950-03-01,141,3,spring,126.0
1950-04-01,135,4,spring,141.0
1950-05-01,125,5,spring,135.0
1950-06-01,149,6,summer,125.0
1950-07-01,170,7,summer,149.0
1950-08-01,170,8,summer,170.0
1950-09-01,158,9,autumn,170.0
1950-10-01,133,10,autumn,158.0
1950-11-01,114,11,autumn,133.0
1950-12-01,140,12,winter,114.0
1951-01-01,145,1,winter,140.0
1951-02-01,150,2,winter,145.0
1951-03-01,178,3,spring,150.0
1951-04-01,163,4,spring,178.0
1951-05-01,172,5,spring,163.0
1951-06-01,178,6,summer,172.0
1951-07-01,199,7,summer,178.0
1951-08-01,199,8,summer,199.0
1951-09-01,184,9,autumn,199.0
1951-10-01,162,10,autumn,184.0
1951-11-01,146,11,autumn,162.0
1951-12-01,166,12,winter,146.0
1952-01-01,171,1,winter,166.0
1952-02-01,180,2,winter,171.0
1952-03-01,193,3,spring,180.0
1952-04-01,181,4,spring,193.0
1952-05-01,183,5,spring,181.0
1952-06-01,218,6,summer,183.0
1952-07-01,230,7,summer,218.0
1952-08-01,242,8,summer,230.0
1952-09-01,209,9,autumn,242.0
1952-10-01,191,10,autumn,209.0
1952-11-01,172,11,autumn,191.0
1952-12-01,194,12,winter,172.0
1953-01-01,196,1,winter,194.0
1953-02-01,196,2,winter,196.0
1953-03-01,236,3,spring,196.0
1953-04-01,235,4,spring,236.0
1953-05-01,229,5,spring,235.0
1953-06-01,243,6,summer,229.0
1953-07-01,264,7,summer,243.0
1953-08-01,272,8,summer,264.0
1953-09-01,237,9,autumn,272.0
1953-10-01,211,10,autumn,237.0
1953-11-01,180,11,autumn,211.0
1953-12-01,201,12,winter,180.0
1954-01-01,204,1,winter,201.0
1954-02-01,188,2,winter,204.0
1954-03-01,235,3,spring,188.0
1954-04-01,227,4,spring,235.0
1954-05-01,234,5,spring,227.0
1954-06-01,264,6,summer,234.0
1954-07-01,302,7,summer,264.0
1954-08-01,293,8,summer,302.0
1954-09-01,259,9,autumn,293.0
1954-10-01,229,10,autumn,259.0
1954-11-01,203,11,autumn,229.0
1954-12-01,229,12,winter,203.0
1955-01-01,242,1,winter,229.0
1955-02-01,233,2,winter,242.0
1955-03-01,267,3,spring,233.0
1955-04-01,269,4,spring,267.0
1955-05-01,270,5,spring,269.0
1955-06-01,315,6,summer,270.0
1955-07-01,364,7,summer,315.0
1955-08-01,347,8,summer,364.0
1955-09-01,312,9,autumn,347.0
1955-10-01,274,10,autumn,312.0
1955-11-01,237,11,autumn,274.0
1955-12-01,278,12,winter,237.0
1956-01-01,284,1,winter,278.0
1956-02-01,277,2,winter,284.0
1956-03-01,317,3,spring,277.0
1956-04-01,313,4,spring,317.0
1956-05-01,318,5,spring,313.0
1956-06-01,374,6,summer,318.0
1956-07-01,413,7,summer,374.0
1956-08-01,405,8,summer,413.0
1956-09-01,355,9,autumn,405.0
1956-10-01,306,10,autumn,355.0
1956-11-01,271,11,autumn,306.0
1956-12-01,306,12,winter,271.0
1957-01-01,315,1,winter,306.0
1957-02-01,301,2,winter,315.0
1957-03-01,356,3,spring,301.0
1957-04-01,348,4,spring,356.0
1957-05-01,355,5,spring,348.0
1957-06-01,422,6,summer,355.0
1957-07-01,465,7,summer,422.0
1957-08-01,467,8,summer,465.0
1957-09-01,404,9,autumn,467.0
1957-10-01,347,10,autumn,404.0
1957-11-01,305,11,autumn,347.0
1957-12-01,336,12,winter,305.0
1958-01-01,340,1,winter,336.0
1958-02-01,318,2,winter,340.0
1958-03-01,362,3,spring,318.0
1958-04-01,348,4,spring,362.0
1958-05-01,363,5,spring,348.0
1958-06-01,435,6,summer,363.0
1958-07-01,491,7,summer,435.0
1958-08-01,505,8,summer,491.0
1958-09-01,404,9,autumn,505.0
1958-10-01,359,10,autumn,404.0
1958-11-01,310,11,autumn,359.0
1958-12-01,337,12,winter,310.0
1959-01-01,360,1,winter,337.0
1959-02-01,342,2,winter,360.0
1959-03-01,406,3,spring,342.0
1959-04-01,396,4,spring,406.0
1959-05-01,420,5,spring,396.0
1959-06-01,472,6,summer,420.0
1959-07-01,548,7,summer,472.0
1959-08-01,559,8,summer,548.0
1959-09-01,463,9,autumn,559.0
1959-10-01,407,10,autumn,463.0
1959-11-01,362,11,autumn,407.0
1959-12-01,405,12,winter,362.0
1960-01-01,417,1,winter,405.0
1960-02-01,391,2,winter,417.0
1960-03-01,419,3,spring,391.0
1960-04-01,461,4,spring,419.0
1960-05-01,472,5,spring,461.0
1960-06-01,535,6,summer,472.0
1960-07-01,622,7,summer,535.0
1960-08-01,606,8,summer,622.0
1960-09-01,508,9,autumn,606.0
1960-10-01,461,10,autumn,508.0
1960-11-01,390,11,autumn,461.0
1960-12-01,432,12,winter,390.0
